t,x,y,z,v_x,v_y,v_z,ekt,v_magnitude,theta_f,phi
14.5,5.612421036,1.644210577,31.976753235,0.677070737,-0.193131506,0.413504392,1.6077935875994709,0.8165233883452702,59.57428916328048,344.07942969911073
15.5,3.675852537,2.626015186,31.467933655,1.009499907,0.091280796,0.221952766,2.596461026515026,1.0376344617862558,77.64884356139854,5.166736679345831
9.0,1.856034756,4.895207405,36.983654022,0.017424425,-0.396093875,1.215459704,3.9417365409822627,1.278489835879372,18.06607008769072,272.5188543186293
11.6,0.167068511,4.047363281,32.810897827,0.249886081,0.046372831,0.589416564,0.9935641662978655,0.6418764513908102,23.325383910588283,10.51311880653384
8.4,1.33603406,0.598442614,31.793447495,0.816829741,-1.158889413,0.581264138,5.6625267814944955,1.5323522752521674,67.70793578256436,305.17765060289275
10.4,3.896417141,2.180385113,31.569587708,1.659367681,0.724905252,0.366325647,8.231000611542466,1.847480231226973,78.5633739633494,23.598415082290842
8.5,1.335664153,2.789046526,33.653194427,0.765632153,0.124242932,0.959144652,3.6693566581716044,1.2335263934426264,38.962003156490645,9.217324037072501
12.6,2.737438679,1.065747142,32.957027435,0.610715449,-0.011675285,0.463263839,1.417312973504644,0.7666309780149252,52.82256908046955,358.90478768795214
17.799999,2.812878609,3.051622152,31.820163727,0.051082537,0.875522077,0.232210681,1.9848599866603156,0.9072321275567979,75.16981390868442,86.66085013639213
8.0,3.372712135,2.881097317,32.945896149,1.261584759,-0.727860451,0.58748877,5.948091962962526,1.5705158372799441,68.03292266088626,330.017573858383
16.299999,3.666184425,4.207893848,31.443767548,0.144527495,0.996619523,0.199966252,2.5420566134044846,1.0267059814643382,78.76901200168888,81.74861817010816
8.3,1.693349838,0.261482924,36.490097046,-0.116884358,-0.22539942,1.351180673,4.558171880961116,1.3748294667958427,10.642464700430248,242.59030412951924
20.6,1.328981757,2.499097347,32.014022827,-0.446645409,-0.019365001,0.228626475,0.6080369081382075,0.5021326415554289,62.915058846868924,182.4825921386173
22.4,3.157445431,1.571809173,32.665855408,0.080546722,0.08755108,0.375845522,0.37478299868834036,0.3942243300984405,17.56412177233378,47.38604029480251
27.1,1.749269962,5.593999863,31.64150238,0.875796437,-1.781449199,0.126747131,9.541577300574072,1.9891318415068338,86.34664792619438,296.17966410278257
15.9,3.035947561,0.67382735,34.864570618,0.255920231,-0.672854006,0.844679356,2.9703102649302826,1.109824712500995,40.43938759526914,290.82432776073335
19.799999,5.270154953,4.494543552,31.988563538,-0.951204598,-0.191820294,0.222126275,2.3896480838025194,0.9954523064878417,77.10641061720686,191.40137778196654
13.3,2.004031181,3.509738922,32.468585968,0.588776946,-1.180633187,0.374375045,4.5353916473676765,1.3713896925037814,74.15776020584383,296.5052450914849
8.6,2.429126263,0.420252621,31.785844803,0.160520479,0.340865612,0.793960094,1.8624956858008808,0.878822405544495,25.386499641197478,64.78330977545556
7.1,4.802139759,4.142239571,35.13980484,0.648060918,-0.184554458,1.331390619,5.369623997704503,1.4921944517280177,26.844333603020715,344.1041338902242
7.1,4.540147781,2.461583376,31.923202515,0.666098177,0.59144628,0.55932641,2.667977999467905,1.0518277028354264,57.87513298518771,41.60272455225032
